loss,grad_norm,learning_rate,epoch,step
0.3332,0.20703125,4.795454545454546e-06,0.22727272727272727,10
0.3708,0.1630859375,4.568181818181819e-06,0.45454545454545453,20
0.3445,0.1884765625,4.340909090909091e-06,0.6818181818181818,30
0.344,0.185546875,4.113636363636364e-06,0.9090909090909091,40
0.3672,0.18359375,3.886363636363637e-06,1.1363636363636362,50
0.3276,0.6015625,3.6590909090909093e-06,1.3636363636363638,60
0.3341,0.19140625,3.4318181818181823e-06,1.5909090909090908,70
0.3347,0.208984375,3.204545454545455e-06,1.8181818181818183,80
0.3432,0.1826171875,2.9772727272727274e-06,2.0454545454545454,90
0.3434,0.2041015625,2.7500000000000004e-06,2.2727272727272725,100
0.3482,0.2080078125,2.522727272727273e-06,2.5,110
0.3472,0.1943359375,2.295454545454546e-06,2.7272727272727275,120
0.31,0.25,2.0681818181818184e-06,2.9545454545454546,130
0.3646,0.228515625,1.840909090909091e-06,3.1818181818181817,140
0.3442,0.2041015625,1.613636363636364e-06,3.409090909090909,150
0.316,0.1962890625,1.3863636363636365e-06,3.6363636363636362,160
0.3201,0.177734375,1.159090909090909e-06,3.8636363636363638,170
0.3588,0.234375,9.31818181818182e-07,4.090909090909091,180
0.3257,0.220703125,7.045454545454545e-07,4.318181818181818,190
0.3483,0.1767578125,4.772727272727274e-07,4.545454545454545,200
0.3481,0.24609375,2.5000000000000004e-07,4.7727272727272725,210
0.3154,0.2265625,2.272727272727273e-08,5.0,220
